Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/12/2023 02:29"
"Last updated:","03/12/2023 02:29"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=56trCL
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees","Returned IDPss","Resettlement arrivals",Naturalisation
2018,Thailand,THA,Australia,AUS,-,-,328,-
2018,Thailand,THA,"United States of America",USA,-,-,7,-
2018,Turkmenistan,TKM,"United States of America",USA,-,-,5,-
2018,Togo,TGO,Canada,CAN,-,-,5,33
2018,"Trinidad and Tobago",TTO,Canada,CAN,-,-,5,10
2018,Tunisia,TUN,Canada,CAN,-,-,7,24
2018,Türkiye,TUR,Australia,AUS,-,-,28,-
2018,Türkiye,TUR,France,FRA,-,-,20,64
2018,Türkiye,TUR,Sweden,SWE,-,-,13,-
2018,Uganda,UGA,Australia,AUS,-,-,117,-
2018,Uganda,UGA,Canada,CAN,-,-,28,132
2018,Uganda,UGA,Iceland,ISL,-,-,10,-
2018,Uganda,UGA,"United States of America",USA,-,-,46,-
2018,"Unknown ",UNK,Australia,AUS,-,-,195,-
2018,"Unknown ",UNK,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,23,-
2018,"Unknown ",UNK,Germany,DEU,-,-,12,-
2018,"Unknown ",UNK,"Netherlands (Kingdom of the)",NLD,-,-,114,899
2018,"Unknown ",UNK,Switzerland,CHE,-,-,6,-
2018,"Unknown ",UNK,"United States of America",USA,-,-,276,-
2018,Ukraine,UKR,"United States of America",USA,-,-,3101,-
2018,"United States of America",USA,Canada,CAN,-,-,36,260
2018,Uzbekistan,UZB,Canada,CAN,-,-,6,27
2018,Uzbekistan,UZB,"United States of America",USA,-,-,15,-
2018,"Venezuela (Bolivarian Republic of)",VEN,Canada,CAN,-,-,6,39
2018,Yemen,YEM,Canada,CAN,-,-,47,50
2018,Yemen,YEM,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,5,-
2018,Yemen,YEM,Sweden,SWE,-,-,12,-
2018,Yemen,YEM,"United States of America",USA,-,-,5,-
2018,Zimbabwe,ZWE,"United States of America",USA,-,-,10,-
2018,Afghanistan,AFG,Kazakhstan,KAZ,-,-,-,7
2018,Afghanistan,AFG,Kyrgyzstan,KGZ,-,-,-,10
